Tokens from Lexical Analysis:
Format: <token,type,line_number>
--------------------------------
<#include <stdio.h>,PREPROCESSOR,1>
<int,KEYWORD,1>
<main,KEYWORD,2>
<(,DELIMITER,2>
<),DELIMITER,2>
<{,DELIMITER,2>
<int,KEYWORD,2>
<n,IDENTIFIER,3>
<,,DELIMITER,3>
<reversed,IDENTIFIER,3>
<=,OPERATOR,3>
<0,NUMBER,3>
<,,DELIMITER,3>
<remainder,IDENTIFIER,3>
<,,DELIMITER,3>
<original,IDENTIFIER,3>
<;,DELIMITER,3>
<printf,KEYWORD,3>
<(,DELIMITER,4>
<"Enter an integer: ",STRING,4>
<),DELIMITER,4>
<;,DELIMITER,4>
<scanf,KEYWORD,4>
<(,DELIMITER,5>
<"%d",STRING,5>
<,,DELIMITER,5>
<&,OPERATOR,5>
<n,IDENTIFIER,5>
<),DELIMITER,5>
<;,DELIMITER,5>
<original,IDENTIFIER,5>
<=,OPERATOR,6>
<n,IDENTIFIER,6>
<;,DELIMITER,6>
<while,KEYWORD,6>
<(,DELIMITER,9>
<n,IDENTIFIER,9>
<!=,OPERATOR,9>
<0,NUMBER,9>
<),DELIMITER,9>
<{,DELIMITER,9>
<remainder,IDENTIFIER,9>
<=,OPERATOR,10>
<n,IDENTIFIER,10>
<%,OPERATOR,10>
<10,NUMBER,10>
<;,DELIMITER,10>
<reversed,IDENTIFIER,10>
<=,OPERATOR,11>
<reversed,IDENTIFIER,11>
<*,OPERATOR,11>
<10,NUMBER,11>
<+,OPERATOR,11>
<remainder,IDENTIFIER,11>
<;,DELIMITER,11>
<n,IDENTIFIER,11>
</=,OPERATOR,12>
<10,NUMBER,12>
<;,DELIMITER,12>
<},DELIMITER,12>
<if,KEYWORD,13>
<(,DELIMITER,16>
<original,IDENTIFIER,16>
<==,OPERATOR,16>
<reversed,IDENTIFIER,16>
<),DELIMITER,16>
<printf,KEYWORD,16>
<(,DELIMITER,17>
<"%d is a palindrome.",STRING,17>
<,,DELIMITER,17>
<original,IDENTIFIER,17>
<),DELIMITER,17>
<;,DELIMITER,17>
<else,KEYWORD,17>
<printf,KEYWORD,18>
<(,DELIMITER,19>
<"%d is not a palindrome.",STRING,19>
<,,DELIMITER,19>
<original,IDENTIFIER,19>
<),DELIMITER,19>
<;,DELIMITER,19>
<return,KEYWORD,19>
<0,NUMBER,21>
<;,DELIMITER,21>
<},DELIMITER,21>
